No.,File Name,centroid1,centroid23,skew1,skew23,slope1,slope23,spread1,spread23,variance1,variance23
170,Wells_PilgerPoint_U_T3_015100_20141013_203000,4377.5009,4245.175,0.0135,0.0129,-3.1941,-3.2579,1.7049,1.7146,33770131.8182,33723150
171,Wells_PilgerPoint_U_T4_015100_20140606_233000,5865.562,5678.38,0.0051,0.0049,-2.4767,-2.567,1.6688,1.4271,40032859.0909,40671250
172,Wells_PilgerPoint_U_T4_015100_20140626_003000,4856.2418,4870.315,0.0169,0.0157,-2.9633,-2.9565,3.7742,2.8538,29506250,29636350
173,Wells_PilgerPoint_U_T4_015100_20140721_230000,3010.2564,2983.86,0.0309,0.0307,-3.8532,-3.8659,2.1056,2.1273,24764515.9091,24291250
174,Wells_PilgerPoint_U_T4_015100_20140802_000000,5316.3243,5176.42,0.0069,0.0071,-2.7415,-2.809,1.9582,1.7619,37798856.8182,37886400
175,Wells_PilgerPoint_U_T4_015100_20140806_013000,6128.6541,6101.055,0.0042,0.0036,-2.3499,-2.3632,1.7376,1.5381,40119468.1818,40495850
176,Wells_PilgerPoint_U_T4_015100_20140822_010000,7290.9609,7474.63,0.0019,0.0015,-1.7896,-1.7011,1.4898,1.448,38563686.3636,38534250
177,Wells_PilgerPoint_U_T4_015100_20140914_003000,7552.6934,7528.995,0.0017,0.0016,-1.6635,-1.6749,1.5982,1.4062,39622275,39868150
178,Wells_PilgerPoint_U_T4_015100_20140921_233000,5644.0398,5683.82,0.0081,0.0078,-2.5835,-2.5644,1.7746,1.6786,31487922.7273,31437950
179,Wells_PilgerPoint_U_T4_015100_20140925_233000,4175.3018,4140.605,0.0143,0.0137,-3.2915,-3.3083,1.3501,1.3455,35249370.4545,35317500
180,Wells_PilgerPoint_U_T4_015100_20140928_003000,3319.2414,3310.825,0.0257,0.0239,-3.7042,-3.7083,1.9424,1.82,27584788.6364,27650400
